ID_UNICO,Posición,ISIN,Tipo,Participaciones,Fecha,Moneda,Precio,Gasto
817def3e-f374-4776-a383-13b0bbf2635f,Bestinver Internacional FI,ES0114638036,Compra,132.6854,2018-06-26,EUR,45.2197,0.0
7b84e678-0b95-41d4-a0d6-5b48dca87f5e,Azvalor Internacional FI,ES0112611001,Compra,40.768,2018-07-03,EUR,122.65,0.0
7cf11fdf-742b-4ba9-a2f8-7f3d27d161af,Cartesio Y FI,ES0182527038,Compra,2.6695,2018-07-05,EUR,2247.6,0.0
1acdb126-911b-4c7f-a864-281eadbccf46,Cobas Selección C FI,ES0124037005,Compra,47.9163,2018-07-09,EUR,104.3487,0.0
9699508b-4ead-4205-ad11-9332a80d95a7,Fundsmith Equity T EUR Acc,LU0690375182,Compra,57.94,2018-07-11,EUR,34.5203,0.0
cd0d10a8-06ed-4915-9f1d-73850ff29626,Seilern World Growth EUR H FI,IE0031724234,Compra,17.35,2018-07-11,EUR,230.52,0.0
0f0e3676-5296-4bbe-acbc-4abe3a210520,Renta 4 Bolsa España R FI,ES0173394034,Compra,41.8599,2018-07-24,EUR,35.8338,0.0
7985e466-6dc8-49f3-a4f7-16eca332ed5d,Seilern World Growth EUR U FI,IE00B2NXKW18,Compra,7.03,2018-07-24,EUR,284.3401,0.0
019933cf-b7ed-4309-a12c-afdac58dbf3e,Fundsmith Equity T EUR Acc,LU0690375182,Compra,113.04,2018-07-25,EUR,35.3871,0.0
32e46bb2-b953-4b18-83f2-911e3a99cdba,Seilern World Growth EUR U FI,IE00B2NXKW18,Compra,14.13,2018-07-27,EUR,285.16,0.0
94feea1a-aa3b-49a1-b15b-12d0c7732919,Azvalor Internacional FI,ES0112611001,Compra,3.0,2021-06-21,EUR,137.424,0.0
ddf61214-fe43-42c6-8c53-ef35e8b8acb4,Azvalor Internacional FI,ES0112611001,Compra,4.0,2022-07-01,EUR,187.954,0.0
cea3d17c-b70a-4e09-b42a-4dfd366e13d5,Azvalor Internacional FI,ES0112611001,Compra,2.0,2023-07-04,EUR,212.67,0.0
2ee8d5ab-e23d-4068-afb0-bf8e66acf9a1,Fundsmith Equity Fund T EUR Acc,LU0690375182,Venta total,170.98000000000002,2023-03-07,EUR,52.639,0.0
7f5c3b5f-5bde-4e6a-96dc-540090ac2d3e,Azvalor Internacional FI,ES0112611001,Compra,8.0,2025-02-12,EUR,243.991,0.0
5396719d-7fa5-4ecf-afca-28bd9813bcf8,Azvalor Internacional FI,ES0112611001,Compra,4.0,2025-02-11,EUR,245.185,0.0
81e552fd-e8ef-4f75-a4f1-e163deb39514,Azvalor Internacional FI,ES0112611001,Compra,3.0,2025-05-13,EUR,230.827,0.0
2628473b-dd86-4aaa-9783-dc1b96026a0c,Azvalor Internacional FI,ES0112611001,Venta,7.0,2025-06-10,EUR,240.437,0.0
e1d838e0-fb5f-46ce-a24d-07fe5ae7eaaf,Azvalor Internacional FI,ES0112611001,Venta,7.0,2025-06-12,EUR,239.83,0.0
f066d5fa-596b-41d2-9e29-0cc60ee3245b,Azvalor Internacional FI,ES0112611001,Venta total,50.768,2025-06-13,EUR,241.79,0.0
81a7185c-f8a4-4a89-980d-b74fc7a358e7,Bestinver Internacional Fi (114638036),ES0114638036,Compra,14.0,2018-06-26,EUR,452.197,0.0
31836037-7f21-45f4-bb1d-baaaa4b8fd99,Bestinver Internacional Fi (114638036),ES0114638036,Compra,20.0,2022-05-03,EUR,4.807,0.0
445bdfef-fde9-4722-8b23-a24223b8e012,Bestinver Internacional Fi (114638036),ES0114638036,Compra,47.0,2022-05-03,EUR,4.807,0.0
b22ae520-2a35-466f-8a92-1c580a5a11b4,Seilern World Growth Eur U R (0P0000GACH),IE00B2NXKW18,Compra,1.0,2018-07-27,EUR,28.516,0.0
078a4246-9a29-45b1-8905-6cee4556fd67,Seilern World Growth Eur U R (0P0000GACH),IE00B2NXKW18,Compra,23.0,2024-05-15,EUR,538.74,0.0
67edfeb2-143c-4067-ad93-382e1ee63ef0,Azvalor Internacional Fi (0P00016YQ5),ES0112611001,Compra,23.0,2025-06-20,EUR,237.946,0.0
