Date,Price,Open,High,Low,Change %
2018-02-01,117.648,117.648,117.648,117.648,-0.23%
2018-02-02,114.907,114.907,114.907,114.907,-2.33%
2018-02-05,113.424,113.424,113.424,113.424,-1.29%
2018-02-06,112.796,112.796,112.796,112.796,-0.55%
2018-02-07,112.585,112.585,112.585,112.585,-0.19%
2018-02-08,111.106,111.106,111.106,111.106,-1.31%
2018-02-09,110.081,110.081,110.081,110.081,-0.92%
2018-02-12,111.867,111.867,111.867,111.867,1.62%
2018-02-13,111.412,111.412,111.412,111.412,-0.41%
2018-02-14,114.427,114.427,114.427,114.427,2.71%
2018-02-15,114.411,114.411,114.411,114.411,-0.01%
2018-02-16,114.31,114.31,114.31,114.31,-0.09%
2018-02-20,114.001,114.001,114.001,114.001,-0.27%
2018-02-21,114.093,114.093,114.093,114.093,0.08%
2018-02-22,114.591,114.591,114.591,114.591,0.44%
2018-02-23,115.82,115.82,115.82,115.82,1.07%
2018-02-26,115.726,115.726,115.726,115.726,-0.08%
2018-02-27,115.659,115.659,115.659,115.659,-0.06%
2018-02-28,114.265,114.265,114.265,114.265,-1.21%
2018-03-01,114.067,114.067,114.067,114.067,-0.17%
2018-03-02,113.668,113.668,113.668,113.668,-0.35%
2018-03-05,114.568,114.568,114.568,114.568,0.79%
2018-03-06,115.516,115.516,115.516,115.516,0.83%
2018-03-07,114.765,114.765,114.765,114.765,-0.65%
2018-03-08,115.8,115.8,115.8,115.8,0.90%
2018-03-13,114.786,114.786,114.786,114.786,-0.88%
2018-03-14,113.958,113.958,113.958,113.958,-0.72%
2018-03-15,113.494,113.494,113.494,113.494,-0.41%
2018-03-16,114.306,114.306,114.306,114.306,0.72%
2018-03-19,112.721,112.721,112.721,112.721,-1.39%
2018-03-20,113.666,113.666,113.666,113.666,0.84%
2018-03-21,115.313,115.313,115.313,115.313,1.45%
2018-03-22,114.036,114.036,114.036,114.036,-1.11%
2018-03-23,114.115,114.115,114.115,114.115,0.07%
2018-03-26,113.875,113.875,113.875,113.875,-0.21%
2018-03-27,112.983,112.983,112.983,112.983,-0.78%
2018-04-03,115.108,115.108,115.108,115.108,1.88%
2018-04-04,115.477,115.477,115.477,115.477,0.32%
2018-04-10,118.251,116.169,116.169,116.169,2.40%
2018-04-11,119.99,119.99,119.99,119.99,1.47%
2018-04-12,120.487,120.487,120.487,120.487,0.41%
2018-04-13,120.906,120.906,120.906,120.906,0.35%
2018-04-16,120.7,120.7,120.7,120.7,-0.17%
2018-04-17,121.537,121.537,121.537,121.537,0.69%
2018-04-18,123.531,123.531,123.531,123.531,1.64%
2018-04-19,124.365,124.365,124.365,124.365,0.67%
2018-04-20,123.755,123.755,123.755,123.755,-0.49%
2018-04-23,123.979,123.979,123.979,123.979,0.18%
2018-04-24,123.275,123.275,123.275,123.275,-0.57%
2018-04-25,122.789,122.789,122.789,122.789,-0.39%
2018-04-26,123.176,123.176,123.176,123.176,0.32%
2018-04-27,122.592,122.592,122.592,122.592,-0.47%
2018-04-30,122.849,122.849,122.849,122.849,0.21%
2018-05-02,123.864,123.864,123.864,123.864,0.83%
2018-05-03,123.885,123.885,123.885,123.885,0.02%
2018-05-04,124.676,124.676,124.676,124.676,0.64%
2018-05-08,125.322,125.322,125.322,125.322,0.52%
2018-05-09,127.268,127.268,127.268,127.268,1.55%
2018-05-10,127.381,127.381,127.381,127.381,0.09%
2018-05-11,127.643,127.643,127.643,127.643,0.21%
2018-05-14,127.788,127.788,127.788,127.788,0.11%
2018-05-16,128.427,128.427,128.427,128.427,0.50%
2018-05-17,129.087,129.087,129.087,129.087,0.51%
2018-05-18,128.865,128.865,128.865,128.865,-0.17%
2018-05-22,128.684,128.684,128.684,128.684,-0.14%
2018-05-23,127.747,127.747,127.747,127.747,-0.73%
2018-05-24,127.011,127.011,127.011,127.011,-0.58%
2018-05-25,125.891,125.891,125.891,125.891,-0.88%
2018-05-29,126.01,126.01,126.01,126.01,0.09%
2018-05-30,126.66,126.66,126.66,126.66,0.52%
2018-05-31,125.294,125.294,125.294,125.294,-1.08%
2018-06-01,127.964,127.964,127.964,127.964,2.13%
2018-06-04,128.051,128.051,128.051,128.051,0.07%
2018-06-05,128.363,128.363,128.363,128.363,0.24%
2018-06-06,129.478,129.478,129.478,129.478,0.87%
2018-06-07,129.711,129.711,129.711,129.711,0.18%
2018-06-08,129.023,129.023,129.023,129.023,-0.53%
2018-06-11,128.955,128.955,128.955,128.955,-0.05%
2018-06-12,128.938,128.938,128.938,128.938,-0.01%
2018-06-13,127.916,127.916,127.916,127.916,-0.79%
2018-06-14,129.694,129.694,129.694,129.694,1.39%
2018-06-15,126.02,126.02,126.02,126.02,-2.83%
2018-06-18,126.011,126.011,126.011,126.011,-0.01%
2018-06-19,125.005,125.005,125.005,125.005,-0.80%
2018-06-20,125.35,125.35,125.35,125.35,0.28%
2018-06-21,124.625,124.625,124.625,124.625,-0.58%
2018-06-22,126.604,126.604,126.604,126.604,1.59%
2018-06-25,124.605,124.605,124.605,124.605,-1.58%
2018-06-26,124.302,124.302,124.302,124.302,-0.24%
2018-06-27,125.212,125.212,125.212,125.212,0.73%
2018-06-28,124.419,124.419,124.419,124.419,-0.63%
2018-06-29,124.482,124.482,124.482,124.482,0.05%
2018-07-02,122.879,122.879,122.879,122.879,-1.29%
2018-07-03,122.646,122.646,122.646,122.646,-0.19%
2018-07-05,122.794,122.794,122.794,122.794,0.12%
2018-07-06,122.366,122.366,122.366,122.366,-0.35%
2018-07-09,123.562,123.562,123.562,123.562,0.98%
2018-07-10,124.23,124.23,124.23,124.23,0.54%
2018-07-11,122.093,122.093,122.093,122.093,-1.72%
2018-07-12,121.638,121.638,121.638,121.638,-0.37%
2018-07-13,121.648,121.648,121.648,121.648,0.01%
2018-07-16,120.679,120.679,120.679,120.679,-0.80%
2018-07-17,121.381,121.381,121.381,121.381,0.58%
2018-07-18,121.816,121.816,121.816,121.816,0.36%
2018-07-19,120.889,120.889,120.889,120.889,-0.76%
2018-07-20,120.546,120.546,120.546,120.546,-0.28%
2018-07-23,119.641,119.641,119.641,119.641,-0.75%
